Metric,Value
Legacy_rows,2325
Exact_six_variable_matches,2325
Unique_J_cycle_candidates,2325
Ambiguous_matches,0
Unmatched_rows,0
Unique_reconstructed_SEQN,2325
Wrong_SEQN_fingerprint_links,0
Metadata_mismatches,0
Fasting_time_mismatches,0
Official_source_complete_six_variable_rows,2757
Official_source_unique_six_variable_fingerprints,2757
Official_source_duplicate_fingerprints,0
Historical_complete_core_before_LDL_filter,2350
Missing_Friedewald_LDL,25
Missing_LDL_all_TG_ge_400,TRUE
Historical_after_LDL_completeness,2325
Legacy_valid_fasting_8_to_lt24,2194
Legacy_invalid_or_zero_fasting_weight,131
Primary_corrected_R2_cohort,2219
